Path,      Total Latency (s),    Total Noise Power (W)  ,  SNR (dB)  
A->C->B,0.006651088714824848,1.3292974894622683e-06,28.763778154651654
A->C->D->F->B,0.012390159263959321,2.476317533835891e-06,26.061936672646716
A->C->D->F->E->B,0.019488416671393883,3.894986890963567e-06,24.09493999658109
A->C->D->B,0.012236948640078838,2.4456966074859947e-06,26.11597418872492
A->D->C->B,0.008846168654289128,1.768009763167927e-06,27.525153410886418
A->D->F->B,0.008501097717562744,1.6990433202975506e-06,27.697955478370563
A->D->F->E->B,0.015599355124997306,3.1177126774252266e-06,25.06163911070987
A->D->B,0.008347887093682262,1.6684223939476545e-06,27.7769398958704
A->E->B,0.0061071590097800475,1.2205868072925376e-06,29.13431328424171
A->E->F->B,0.006113515229223888,1.2218571717263088e-06,29.129795577239356
A->E->F->D->C->B,0.013496942755570748,2.697521096118566e-06,25.69035150206847
A->E->F->D->B,0.012998661194963882,2.597933726898293e-06,25.853719319425448
A->B,0.004533525177645261,9.060777709407733e-07,30.428345241323804
A->C,0.004774045158721042,9.541484884906542e-07,30.203840333525772
A->D->C,0.006969125098185322,1.392860762196313e-06,28.560922958030112
A->D->F->B->C,0.01037814127366655,2.0741923212691646e-06,26.831509778439827
A->D->F->E->B->C,0.017476398681101114,3.4928616783968406e-06,24.56818612615555
A->D->B->C,0.010224930649786067,2.0435713949192683e-06,26.89610185024645
A->E->B->D->C,0.013570062491137843,2.7121349262878782e-06,25.666887085053162
A->E->B->C,0.007984202565883853,1.5957358082641516e-06,27.970390092951334
A->E->B->F->D->C,0.013723273115018326,2.7427558526377745e-06,25.618128495486886
A->E->F->B->D->C,0.013576418710581684,2.7134052907216497e-06,25.664853325274013
A->E->F->B->C,0.007990558785327694,1.5970061726979228e-06,27.9669340523693
A->E->F->D->C,0.011619899199466942,2.322372095146952e-06,26.34068195483524
A->E->F->D->B->C,0.014875704751067687,2.973082727869907e-06,25.267930061137527
A->B->D->C,0.011996428659003057,2.397625889936114e-06,26.202185804579386
A->B->C,0.006410568733749067,1.2812267719123872e-06,28.923739951000485
A->B->E->F->D->C,0.019247896690318102,3.8469161734136855e-06,24.148872771245642
A->B->F->D->C,0.01214963928288354,2.42824681628601e-06,26.14707172002371
A->C->B->D,0.011071921453252215,2.2128523648356095e-06,26.5504755998871
A->C->B->E->F->D,0.01832338948456726,3.6621426483131817e-06,24.36264743003005
A->C->B->F->D,0.011225132077132698,2.2434732911855053e-06,26.490790964272296
A->C->D,0.00781611590165147,1.5621417321126537e-06,28.062795654126266
A->D,0.003927054355254894,7.848675185743134e-07,31.05203643646769
A->E->B->D,0.010527991748207415,2.1041416826658785e-06,26.769250202558016
A->E->B->C->D,0.011026273308814281,2.2037290518861513e-06,26.568418029710067
A->E->B->F->D,0.010681202372087898,2.134762609015775e-06,26.70650412595232
A->E->F->B->D,0.010534347967651255,2.10541204709965e-06,26.76662896374859
A->E->F->B->C->D,0.011032629528258122,2.2049994163199223e-06,26.56591521157172
A->E->F->D,0.008577828456536514,1.7143788515249522e-06,27.658931993639552
A->B->D,0.008954357916072629,1.7896326463141144e-06,27.472361064791762
A->B->C->D,0.009452639476679495,1.8892200155343867e-06,27.23717461893724
A->B->E->F->D,0.016205825947387672,3.238922929791686e-06,24.895993859090602
A->B->F->D,0.009107568539953112,1.8202535726640102e-06,27.398681078732654
A->C->B->D->F->E,0.018143406561501655,3.626170966377273e-06,24.405517236812567
A->C->B->E,0.01125190437631782,2.2488240467715176e-06,26.48044523446355
A->C->B->F->E,0.011258260595761661,2.2500944112052886e-06,26.4779925904185
A->C->D->F->B->E,0.016990974925452294,3.3958440911451405e-06,24.69052257152958
A->C->D->F->E,0.01488760100990091,2.975460333654318e-06,25.264458350109745
A->C->D->B->E,0.01683776430157181,3.365223164795244e-06,24.729861302437314
A->C->D->B->F->E,0.01684412052101565,3.3664935292290153e-06,24.728222159570137
A->D->C->B->E,0.0134469843157821,2.6875363204771766e-06,25.706456578014617
A->D->C->B->F->E,0.013453340535225941,2.6888066849109476e-06,25.704404207943334
A->D->F->B->E,0.013101913379055717,2.6185698776067997e-06,25.819358322822126
A->D->F->E,0.010998539463504334,2.1981861201159775e-06,26.57935538701759
A->D->B->E,0.012948702755175234,2.587948951256904e-06,25.870442946208385
A->D->B->F->E,0.012955058974619075,2.589219315690675e-06,25.86831161785969
A->E,0.0015063433482870752,3.010602499832883e-07,35.21346582091106
A->B->D->F->E,0.016025843024322067,3.2029512478557785e-06,24.944496716853358
A->B->C->D->F->E,0.016524124584928933,3.3025386170760504e-06,24.81152095413668
A->B->E,0.009134340839138232,1.8256043282500225e-06,27.385933432737612
A->B->F->E,0.009140697058582073,1.8268746926837935e-06,27.382912403553444
A->C->B->D->F,0.014591099748062454,2.9162011055965494e-06,25.3518252972331
A->C->B->E->F,0.01480421118975702,2.9587939075522413e-06,25.288852842242754
A->C->B->F,0.00770595378232246,1.540124550424565e-06,28.124441561928574
A->C->D->F,0.011335294196461709,2.265490472873594e-06,26.44837759830912
A->C->D->B->E->F,0.02039007111501101,4.075193025575967e-06,23.898518156461805
A->C->D->B->F,0.01329181370757645,2.6565236684482915e-06,25.75686310365689
A->D->C->B->E->F,0.0169992911292213,3.3975061812579003e-06,24.68839744460441
A->D->C->B->F,0.00990103372178674,1.978836824130224e-06,27.035900164563532
A->D->F,0.0074462326500651325,1.4882162593352537e-06,28.273339549382275
A->D->B->E->F,0.016501009568614434,3.2979188120376276e-06,24.81760039994732
A->D->B->F,0.009402752161179874,1.8792494549099514e-06,27.2601556705214
A->E->B->D->F,0.014047170043017653,2.8074904234268185e-06,25.516817164770057
A->E->B->C->D->F,0.01454545160362452,2.9070777926470912e-06,25.365433464664754
A->E->B->F,0.0071620240772776594,1.4314138682548344e-06,28.442347794391285
A->E->F,0.005058650161726276,1.011030110764012e-06,29.952359099441882
A->B->D->F,0.012473536210882867,2.4929813870750548e-06,26.032809639834994
A->B->C->D->F,0.012971817771489733,2.5925687562953266e-06,25.86269717066715
A->B->E->F,0.012686647652577432,2.5355741890307462e-06,25.95923677793962
A->B->F,0.005588390245142873,1.11690483190307e-06,29.51983830232774
B->A,0.004533525177645261,9.060777709407733e-07,30.428345241323804
B->D->A,0.008347887093682262,1.6684223939476545e-06,27.7769398958704
B->D->C->A,0.012236948640078838,2.4456966074859947e-06,26.11597418872492
B->D->F->E->A,0.012998661194963882,2.5979337268982936e-06,25.853719319425448
B->C->D->A,0.008846168654289128,1.768009763167927e-06,27.525153410886418
B->C->D->F->E->A,0.013496942755570748,2.697521096118566e-06,25.69035150206847
B->C->A,0.006651088714824848,1.3292974894622683e-06,28.763778154651654
B->E->A,0.0061071590097800475,1.2205868072925376e-06,29.13431328424171
B->E->F->D->A,0.015599355124997305,3.117712677425226e-06,25.061639110709876
B->E->F->D->C->A,0.01948841667139388,3.8949868909635665e-06,24.09493999658109
B->F->E->A,0.006113515229223888,1.2218571717263088e-06,29.129795577239356
B->F->D->A,0.008501097717562744,1.6990433202975506e-06,27.697955478370563
B->F->D->C->A,0.012390159263959321,2.4763175338358905e-06,26.061936672646723
B->A->C,0.009307570336366304,1.8602262594314274e-06,27.304342293055115
B->A->D->C,0.011502650275830584,2.2989385331370864e-06,26.384726403341354
B->A->E->F->D->C,0.016153424377112202,3.228449866087725e-06,24.910059532725477
B->D->A->C,0.013121932252403302,2.6225708824383088e-06,25.812727649319996
B->D->C,0.0074629034813577955,1.4915481189953407e-06,28.26362731254614
B->D->F->E->A->C,0.017772706353684924,3.552082215388948e-06,24.49516990732252
B->C,0.001877043556103806,3.7514900097161396e-07,34.25796205746118
B->E->A->C,0.01088120416850109,2.1747352957831916e-06,26.625935969055426
B->E->A->D->C,0.01307628410796537,2.6134475694888506e-06,25.827862082159648
B->E->F->D->A->C,0.020373400283718347,4.07186116591588e-06,23.902070381134703
B->E->F->D->C,0.014714371512672839,2.9408384024729125e-06,25.315288390911867
B->F->E->A->C,0.01088756038794493,2.176005660216963e-06,26.623399792873705
B->F->E->A->D->C,0.01308264032740921,2.614717933922622e-06,25.825751543485648
B->F->D->A->C,0.013275142876283785,2.653191808788205e-06,25.762313521710283
B->F->D->C,0.00761611410523828,1.5221690453452365e-06,28.175371140674965
B->A->C->D,0.012349641079296732,2.468219503053427e-06,26.07616220357656
B->A->D,0.008460579532900156,1.6909452895150867e-06,27.718704437600824
B->A->E->F->D,0.013111353634181774,2.620456622465725e-06,25.816230249633705
B->D,0.004420832738427367,8.835548753733411e-07,30.537664723804838
B->C->D,0.0049191142990342345,9.831422445936135e-07,30.073836423175283
B->C->A->D,0.010578143070079742,2.114165008036582e-06,26.74861119543675
B->C->A->E->F->D,0.015228917171361362,3.0436763409872206e-06,25.1660153153242
B->E->A->C->D,0.013923274911431518,2.7827285394051913e-06,25.555291578731364
B->E->A->D,0.010034213365034942,2.005454325866851e-06,26.977872246072273
B->E->F->D,0.01167230076974241,2.332845158850913e-06,26.321140862762423
B->F->E->A->C->D,0.013929631130875359,2.7839989038389627e-06,25.553309400588834
B->F->E->A->D,0.010040569584478782,2.0067246903006223e-06,26.975122058307438
B->F->D,0.004574043362307851,9.14175801723237e-07,30.389702786900457
B->A->C->D->F->E,0.01942112618754617,3.881538104595091e-06,24.109961460626785
B->A->D->F->E,0.015532064641149593,3.1042638910567504e-06,25.08041366808717
B->A->E,0.006039868525932336,1.2071380209240616e-06,29.18243070997275
B->D->A->E,0.009854230441969336,1.9694826439309428e-06,27.05647842058816
B->D->C->A->E,0.013743291988365913,2.746756857469283e-06,25.61179782564482
B->D->F->E,0.011492317846676807,2.296873476915005e-06,26.38862927221617
B->C->D->A->E,0.010352512002576203,2.0690700131512155e-06,26.842248134373182
B->C->D->F->E,0.011990599407283673,2.3964608461352774e-06,26.204296622058063
B->C->A->D->F->E,0.017649628178329182,3.527483609578246e-06,24.5253499551444
B->C->A->E,0.008157432063111923,1.6303577394455565e-06,27.877170905527286
B->E,0.004600815661492972,9.195265573092493e-07,30.364357231672802
B->F->E,0.004607171880936813,9.207969217430205e-07,30.358361412377942
B->F->D->A->E,0.01000744106584982,2.000103570280839e-06,26.989475149175938
B->F->D->C->A->E,0.013896502612246396,2.777377783819179e-06,25.563650427311938
B->A->C->D->F,0.01586881937410697,3.1715682438143675e-06,24.98725939289965
B->A->D->F,0.011979757827710394,2.3942940302760267e-06,26.208225173025156
B->A->E->F,0.009592175339371536,1.917107881704785e-06,27.173534473145327
B->D->A->E->F,0.013406537255408538,2.6794525047116665e-06,25.719539367448153
B->D->C->A->E->F,0.017295598801805114,3.456726718250007e-06,24.613349535346515
B->D->F,0.007940011033237606,1.5869036161342814e-06,27.9944945021566
B->C->D->A->E->F,0.013904818816015404,2.779039873931939e-06,25.56105221878843
B->C->D->F,0.008438292593844474,1.6864909853545537e-06,27.73015975863002
B->C->A->D->F,0.01409732136488998,2.817513748797522e-06,25.50133956022822
B->C->A->E->F,0.011709738876551124,2.3403276002262802e-06,26.307233455760887
B->E->A->C->D->F,0.017442453206241756,3.4860772801661312e-06,24.576629895789516
B->E->A->D->F,0.01355339165984518,2.7088030666277913e-06,25.672225675713868
B->E->F,0.008153122474932172,1.6294964180899728e-06,27.879465898508585
B->F,0.0010548650674976124,2.108270609622968e-07,36.76073645488334
C->B->A,0.006410568733749067,1.2812267719123872e-06,28.923739951000485
C->B->D->A,0.010224930649786067,2.0435713949192683e-06,26.89610185024645
C->B->D->F->E->A,0.014875704751067685,2.973082727869907e-06,25.267930061137527
C->B->E->A,0.007984202565883853,1.5957358082641516e-06,27.970390092951334
C->B->E->F->D->A,0.01747639868110111,3.4928616783968406e-06,24.56818612615555
C->B->F->E->A,0.007990558785327694,1.5970061726979226e-06,27.9669340523693
C->B->F->D->A,0.010378141273666552,2.074192321269164e-06,26.831509778439827
C->D->A,0.006969125098185322,1.392860762196313e-06,28.560922958030112
C->D->F->B->A,0.012149639282883542,2.42824681628601e-06,26.14707172002371
C->D->F->B->E->A,0.013723273115018328,2.7427558526377745e-06,25.618128495486886
C->D->F->E->A,0.011619899199466942,2.322372095146952e-06,26.34068195483524
C->D->F->E->B->A,0.019247896690318102,3.846916173413686e-06,24.148872771245642
C->D->B->A,0.011996428659003057,2.397625889936114e-06,26.202185804579386
C->D->B->E->A,0.013570062491137841,2.7121349262878787e-06,25.666887085053162
C->D->B->F->E->A,0.013576418710581682,2.7134052907216497e-06,25.664853325274013
C->A,0.004774045158721042,9.541484884906542e-07,30.203840333525772
C->B,0.001877043556103806,3.7514900097161396e-07,34.25796205746118
C->D->A->E->B,0.01307628410796537,2.6134475694888506e-06,25.827862082159648
C->D->A->E->F->B,0.013082640327409209,2.6147179339226216e-06,25.825751543485648
C->D->A->B,0.011502650275830584,2.2989385331370864e-06,26.384726403341354
C->D->F->B,0.00761611410523828,1.5221690453452365e-06,28.175371140674965
C->D->F->E->A->B,0.016153424377112202,3.2284498660877252e-06,24.910059532725477
C->D->F->E->B,0.014714371512672839,2.940838402472913e-06,25.315288390911867
C->D->B,0.0074629034813577955,1.4915481189953407e-06,28.26362731254614
C->A->D->F->B,0.013275142876283785,2.6531918087882046e-06,25.762313521710283
C->A->D->F->E->B,0.020373400283718347,4.071861165915881e-06,23.902070381134703
C->A->D->B,0.013121932252403302,2.6225708824383088e-06,25.812727649319996
C->A->E->B,0.01088120416850109,2.1747352957831916e-06,26.625935969055426
C->A->E->F->B,0.010887560387944929,2.176005660216963e-06,26.623399792873705
C->A->E->F->D->B,0.01777270635368492,3.552082215388947e-06,24.49516990732252
C->A->B,0.009307570336366304,1.8602262594314274e-06,27.304342293055115
C->B->A->D,0.010337623089003961,2.0660942904867007e-06,26.848498624370947
C->B->A->E->F->D,0.014988397190285581,2.9956056234373395e-06,25.235153628146342
C->B->D,0.006297876294531173,1.258703876344955e-06,29.00076430333759
C->B->E->A->D,0.011911256921138747,2.380603326838465e-06,26.233129638210983
C->B->E->F->D,0.013549344325846218,2.7079941598225273e-06,25.6735227660417
C->B->F->E->A->D,0.011917613140582588,2.381873691272236e-06,26.230812725081197
C->B->F->D,0.0064510869184116575,1.2893248026948508e-06,28.89637662748313
C->D,0.0030420707429304286,6.079932436219996e-07,32.16101246835796
C->A->D,0.008701099513975935,1.7390160070649678e-06,27.59696420442375
